Id;Mikro_param;KA;Lparam;Minosites;Param_nev
1;Magnézium;0,29;0,39;gyenge;Mg
2;Magnézium;0,29;40,60;közepes;Mg
3;Magnézium;0,29;61,100000;jó;Mg
4;Magnézium;30,42;0,59;gyenge;Mg
5;Magnézium;30,42;60,100;közepes;Mg
6;Magnézium;30,42;101,100000;jó;Mg
7;Magnézium;43,100;0,99;gyenge;Mg
8;Magnézium;43,100;100,200;közepes;Mg
9;Magnézium;43,100;201,100000;jó;Mg
10;Cink;0,37;0,0.9;gyenge;Zn
11;Cink;0,37;1,100;jó;Zn
12;Cink;38,50;0,2.4;gyenge;Zn
13;Cink;38,50;2.5,100;jó;Zn
14;Cink;51,100;0,3.4;gyenge;Zn
15;Cink;51,100;3.5,100;jó;Zn
16;Mangán;0,37;0,5;0,26;pH
17;Mangán;0,37;6,7;0,7;pH
18;Mangán;0,37;8,100;0,3;pH
19;Mangán;38,50;0,5;0,52;pH
20;Mangán;38,50;6,7;0,13;pH
21;Mangán;38,50;8,100;0,4;pH
22;Mangán;51,100;0,5;0,118;pH
23;Mangán;51,100;6,7;0,3;pH
24;Mangán;51,100;8,100;0,7;pH
25;Réz;0,29;0,0.9;0,0.2;H%
26;Réz;0,29;1,3;0,0.3;H%
27;Réz;0,29;3.1,100;0,0.6;H%
28;Réz;30,42;0,0.9;0,0.3;H%
29;Réz;30,42;1,3;0,0.6;H%
30;Réz;30,42;3.1,100;0,1.4;H%
31;Réz;43,100;0,0.9;0,0.6;H%
32;Réz;43,100;1,3;0,1.2;H%
33;Réz;43,100;3.1,100;0,3.2;H%
