Tabla_techn;Termohelyi_kat_techn;Tnov_nev;Tnov_term;Evet_nev;Evet_term;Evet_N;Evet_P2O5;Evet_K2O;Evet_szarlsz;Evet_szarlb;Evet_kar;Ontozes;Ontozes_hat;Istallotr;Egyb_szervtr;Nitrat_erz
A-18;3;õszi árpa;6;;;;;;;;;;;;;1
B-47a;2;õszi árpa;6;;;;;;;;;;;;;1
B-59;3;õszi árpa;6;;;;;;;;;;;;;1
C-83;2;õszi árpa;6;;;;;;;;;;;;;1
A-26;2;õszi árpa;6;;;;;;;;;;;;;1
B-55;2;õszi búza;6,5;;;;;;;;;;;;;1
B-68;2;õszi búza;6,5;;;;;;;;;;;;;1
A-14;3;õszi búza;6,5;;;;;;;;;;;;;1
B-46;2;õszi búza;6,5;;;;;;;;;;;;;1
B-66;2;õszi búza;6,5;;;;;;;;;;;;;1
B-79;3;õszi búza;6,5;;;;;;;;;;;;;1
B-70a;3;õszi búza;6,5;;;;;;;;;;;;;1
B-78;2;õszi búza;6,5;;;;;;;;;;;;;1
C-80;2;õszi búza;6,5;;;;;;;;;;;;;1
A-23;2;õszi búza;6,5;;;;;;;;;;;;;1
C-98;2;õszi búza;6,5;;;;;;;;;;;;;1
C-102;2;õszi búza;6,5;;;;;;;;;;;;;1
C-117;2;õszi búza;6,5;;;;;;;;;;;;;1
C-118;2;õszi búza;6,5;;;;;;;;;;;;;1
A-31;2;bíborhere;0,7;;;;;;;;;;;;;1
B-47b;2;bíborhere;0,7;;;;;;;;;;;;;1
B-61;3;bíborhere;0,7;;;;;;;;;;;;;1
B-65a;3;bíborhere;0,7;;;;;;;;;;;;;1
B-75;3;bíborhere;0,7;;;;;;;;;;;;;1
B-76;2;bíborhere;0,7;;;;;;;;;;;;;1
A-2;2;repce;3,5;;;;;;;;;;;;;1
A-27;2;repce;3,5;;;;;;;;;;;;;1
B-49;2;repce;3,5;;;;;;;;;;;;;1
B-62;3;repce;3,5;;;;;;;;;;;;;1
B-63a;2;repce;3,5;;;;;;;;;;;;;1
B-64;3;repce;3,5;;;;;;;;;;;;;1
B-65b;3;repce;3,5;;;;;;;;;;;;;1
B-70b;2;repce;3,5;;;;;;;;;;;;;1
B-63b;2;repce;3,5;;;;;;;;;;;;;1
A-20;3;napraforgó;3,5;;;;;;;;;;;;;1
B-47c;2;napraforgó;3,5;;;;;;;;;;;;;1
B-54;2;napraforgó;3,5;;;;;;;;;;;;;1
C-90;2;kukorica;10;;;;;;;;;;;;;1
C-91b;2;kukorica;10;;;;;;;;;;;;;1
B-74;3;szója;4;;;;;;;;;;;;;1
B-42;2;lucerna;8;;;;;;;;;;;;;1
C-91a;2;lucerna;8;;;;;;;;;;;;;1
